ФИО;Пол;Дата рождения;СНИЛС
Юшканов;Ярослав;Олегович;886-761-595 07;11.04.1993
Ряжских;Никита;Романович;670-012-372 58;02.02.1987
Дербушев;Георгий;Фёдорович;013-012-498 43;02.05.1947
Лакин;Максим;Яковлевич;160-639-153 14;31.03.1947
Шморин;Андрей;Яковлевич;301-389-657 10;06.01.1954
Матлашов;Виктор;Антонович;528-577-774 23;26.11.1977
Колобатов;Герасим;Игоревич;247-605-966 00;14.01.1953
Лапушкин;Яков;Антонович;372-547-584 88;30.08.1963
Сипайлов;Евгений;Викторович;557-791-006 97;18.03.1964
Пластинкин;Павел;Георгиевич;034-058-901 95;17.04.1979
Шукленков;Николай;Петрович;837-555-588 35;15.04.1969
Пустоваров;Олег;Яковлевич;166-051-766 55;21.03.1962
Бакламин;Андрей;Тимофеевич;301-158-306 89;07.02.1984
Горчанов;Федор;Романович;982-162-732 100;30.01.2000
Некрестов;Иван;Кириллович;579-897-615 05;12.06.1957
Жолнин;Семён;Данилович;342-471-991 66;28.08.1958
Базавиков;Вячеслав;Аркадиевич;720-186-347 48;21.01.1994
Бакрин;Роман;Евгеньевич;829-851-334 15;28.10.1957
Тысячнов;Игорь;Михаилович;341-343-100 83;05.11.1966
Лидский;Константин;Леонидович;554-287-348 87;06.05.2003
Жукаркин;Степан;Николаевич;237-457-888 65;05.11.1978
Усов;Руслан;Николаевич;056-077-876 24;26.04.1953
Эйрих;Георгий;Сергеевич;657-608-666 00;08.03.1993
Киркин;Роман;Андреевич;745-313-785 68;30.03.1971
Полуничев;Алексей;Яковлевич;805-869-165 84;30.01.1993
Шерстеных;Роман;Сергеевич;687-015-625 11;27.03.1981
Примечалов;Антон;Евгеньевич;273-898-093 96;03.10.2000
Пирожкин;Герасим;Кириллович;718-086-447 74;11.10.1970
Рупышев;Василий;Павлович;441-049-001 12;02.10.1980
Прасовский;Андрей;Адамович;368-758-125 42;12.07.1948
Булатников;Леонид;Павлович;754-548-492 80;31.07.1988
Авдюшев;Эдуард;Михаилович;683-717-199 16;05.06.1959
Ситликов;Семён;Денисович;992-453-621 88;25.04.2006
Разильдеев;Юрий;Олегович;437-644-221 61;23.06.1947
Хабибунин;Эдуард;Юрьевич;354-622-673 36;06.03.1996
Толпин;Никита;Юриевич;834-489-552 72;24.09.1982
Ивляков;Аркадий;Василиевич;021-126-482 02;17.08.1987
Нивмыванов;Ярослав;Василиевич;861-677-850 64;14.06.1970
Видасов;Василий;Романович;846-954-838 24;15.08.1953
Грызенков;Денис;Валериевич;646-738-098 16;30.12.1954
Пентин;Пётр;Денисович;843-793-374 74;31.05.1981
Куртин;Семён;Аркадиевич;090-568-939 42;29.09.1994
Околышев;Алексей;Борисович;310-836-721 98;09.07.1975
Шинев;Григорий;Георгиевич;037-738-854 100;03.07.1978
Закотенков;Валерий;Антонович;789-409-676 20;17.06.1992
Байболов;Никита;Яковлевич;744-185-773 79;29.04.1980
Шахтиев;Александр;Андреевич;899-283-624 48;03.04.1961
Аркашов;Валентин;Сергеевич;705-828-644 66;24.03.2003
Рогонов;Эдуард;Фёдорович;906-029-885 06;14.02.1999
Бумажкин;Артём;Валериевич;071-361-197 49;26.11.2001
Ананькин;Алексей;Валериевич;672-239-141 76;09.09.2008
Ширякин;Константин;Фёдорович;953-019-148 32;06.07.1998
Кошляров;Юрий;Леонидович;413-531-756 42;10.02.1959
Исачкин;Олег;Павлович;914-002-156 61;19.06.2005
Сераков;Игорь;Адамович;874-109-000 01;16.02.1972
Сливаев;Валентин;Тимофеевич;390-235-828 62;11.10.2005
Терзиев;Артём;Николаевич;584-296-976 53;16.10.1996
Васючков;Николай;Михаилович;976-047-828 92;16.07.1952
Газалиев;Денис;Вадимович;913-335-093 09;20.02.1944
Скипетров;Максим;Викторович;940-628-342 02;03.12.1952
Калегин;Никита;Виталиевич;605-386-468 07;13.04.1967
Антрушин;Леонид;Алексиевич;727-348-278 00;30.09.1964
Хандобкин;Алексей;Юриевич;346-946-741 52;01.12.1954
Фиалкин;Антон;Сергеевич;674-707-174 37;03.01.1978
Плеханов;Геннадий;Максимович;902-045-077 19;30.03.1991
Ковонов;Борис;Юриевич;728-438-934 82;07.09.1963
Костричкин;Федор;Вадимович;185-044-546 33;08.11.1985
Годовых;Вячеслав;Евгеньевич;887-729-710 26;07.05.1968
Саферов;Борис;Данилович;822-448-458 90;13.10.1960
Немтырев;Константин;Аркадиевич;132-811-351 53;09.12.1993
Аттаулин;Валентин;Виталиевич;328-483-968 46;05.04.1979
Балабкин;Артём;Валериевич;011-329-017 81;21.05.1958
Ворущенков;Игорь;Павлович;940-685-455 69;25.06.1984
Прямухин;Павел;Алексеевич;000-530-774 18;01.03.1966
Чуровин;Альберт;Андреевич;096-043-812 84;07.08.1974
Массамотин;Вячеслав;Виталиевич;794-581-839 15;07.08.1998
Нихацков;Артур;Сергеевич;873-232-120 01;10.08.1984
Ратинов;Денис;Алексеевич;841-687-830 46;14.04.1961
Зазов;Эдуард;Евгеньевич;673-051-789 05;30.05.1991
Дюкин;Максим;Викторович;520-727-851 36;15.05.2005
Чихачев;Дмитрий;Яковлевич;091-820-799 22;08.10.1943
Коретенков;Семён;Викторович;670-124-767 63;16.06.1945
Завин;Артур;Николаевич;335-306-068 27;04.01.1965
Базуров;Никита;Яковлевич;978-802-119 17;18.11.1983
Марушков;Артём;Иванович;601-928-639 02;06.09.1991
Мирошков;Дмитрий;Борисович;540-528-203 56;08.09.1949
Асюков;Антон;Борисович;502-722-977 98;25.08.2007
Цуцаев;Алексей;Вадимович;339-634-901 02;17.09.2007
Чурзов;Иван;Антонович;229-457-940 51;10.04.1991
Гатаулин;Пётр;Фёдорович;917-375-148 59;14.10.1960
Кашавский;Игорь;Михаилович;629-549-353 57;07.05.2000
Караеров;Андрей;Яковлевич;460-735-799 53;22.08.1962
Цехмистров;Константин;Валериевич;816-052-059 19;02.01.1997
Симарзин;Максим;Сергеевич;637-029-985 21;09.04.1967
Сколышев;Николай;Петрович;938-869-092 88;10.03.1993
Лещеев;Ярослав;Юрьевич;772-756-834 78;13.02.2004
Грунюшкин;Станислав;Максимович;464-623-186 44;11.07.1975
Поправкин;Артём;Вадимович;651-777-744 90;19.05.1962
Черненский;Степан;Антонович;970-849-025 23;29.03.1962
Холматов;Николай;Сергеевич;551-655-355 43;24.10.1989
Котеликов;Григорий;Павлович;676-939-280 60;18.06.1944
Бадунов;Антон;Василиевич;432-626-581 34;16.03.2003
Свертков;Григорий;Вадимович;467-059-255 51;14.08.2001
Гуменщиков;Максим;Антонович;611-598-541 40;16.09.1958
Хамизулин;Герасим;Михаилович;950-017-939 82;12.10.2008
Шедловский;Илья;Денисович;451-874-748 15;09.01.2002
Усищев;Андрей;Виталиевич;019-917-008 15;01.12.1947
Уральцев;Герасим;Михаилович;089-288-936 31;25.05.1975
Жукаев;Георгий;Адамович;511-367-244 10;05.10.1952
Дунайкин;Герасим;Яковлевич;943-412-956 61;14.04.1974
Шалатонов;Артём;Иванович;482-548-775 16;10.02.1960
Гудотников;Юрий;Юриевич;423-446-084 25;17.09.1982
Каминев;Максим;Павлович;167-294-026 10;03.10.1973
Попелхов;Иван;Михаилович;375-804-494 68;12.09.1994
Блявкин;Эдуард;Фёдорович;727-925-497 24;03.10.1984
Шивинский;Игорь;Викторович;665-461-486 76;01.10.1971
Окорков;Федор;Вадимович;834-286-081 15;04.06.1975
Гуманцев;Павел;Вадимович;617-494-240 88;21.10.1996
Назарькин;Максим;Михаилович;593-887-703 63;26.01.1993
Багутдинов;Альберт;Антонович;873-161-762 22;10.12.1986
Сентюрин;Максим;Андреевич;024-753-464 40;04.04.1954
Абалямов;Олег;Алексиевич;926-539-834 81;15.03.1971
Поленышев;Алексей;Евгеньевич;055-437-718 71;06.11.1990
Касимцев;Вадим;Георгиевич;473-189-837 19;30.05.1968
Челенков;Владимир;Иванович;447-158-629 95;10.09.1962
Шпанцев;Тарас;Валериевич;919-275-735 71;20.07.1978
Немухин;Иван;Василиевич;346-813-015 60;10.02.1971
Козуляев;Роман;Олегович;531-182-168 36;18.10.1997
Головенкин;Илья;Викторович;464-333-382 09;24.07.1943
Сувилов;Федор;Вадимович;330-771-937 79;12.09.1957
Ханюкин;Артур;Антонович;412-530-832 78;25.10.1971
Гавришков;Григорий;Игоревич;251-006-230 04;16.07.1984
Абдрезяков;Георгий;Алексеевич;683-892-489 51;07.03.1968
Плютинский;Пётр;Николаевич;887-636-693 09;20.11.1963
Сорников;Ярослав;Сергеевич;284-951-911 12;07.02.1976
Городулин;Дмитрий;Максимович;965-294-374 67;02.01.1977
Соурчаков;Роман;Вадимович;490-416-054 83;03.05.1992
Афиногеев;Евгений;Адамович;252-523-779 05;25.10.1977
Фарыков;Пётр;Викторович;001-749-112 65;29.03.1965
Маковецкий;Эдуард;Иванович;502-420-252 32;27.10.1970
Домашев;Никита;Василиевич;421-246-077 32;17.05.1989
Бордадын;Алексей;Евгеньевич;955-685-500 91;22.10.1985
Шадыев;Антон;Олегович;555-831-750 06;15.03.1948
Вариводов;Степан;Яковлевич;917-788-618 20;26.11.1969
Шарывзянов;Максим;Георгиевич;215-358-393 68;08.09.1976
Тигачин;Иван;Иванович;389-234-061 72;16.10.1953
Каллимулин;Виталий;Василиевич;476-181-443 03;07.02.1972
Шигалев;Евгений;Аркадиевич;475-016-521 56;24.05.1950
Азарин;Виктор;Кириллович;224-247-231 59;07.07.1999
Шимиков;Денис;Андреевич;543-337-014 57;08.10.2002
Булицин;Иван;Тимофеевич;555-145-813 07;24.02.1964
Лиников;Дмитрий;Кириллович;573-550-988 29;03.03.1985
Фрейдлин;Илья;Денисович;181-743-933 42;26.03.1976
Чембарисов;Владимир;Михаилович;233-604-245 87;07.06.1963
Бизунов;Владимир;Кириллович;459-228-639 100;01.10.1968
Иваков;Олег;Денисович;908-320-387 42;01.08.1943
Евменьев;Александр;Тимофеевич;715-376-181 21;26.09.1974
Данауров;Пётр;Павлович;830-480-983 74;10.06.1975
Хамидунин;Алексей;Василиевич;844-899-101 03;30.09.1976
